x,thom,fae,fae_hard,thom_hard,combined
0,2,0,0,1,100
1,3,2,0,1,100
2,3,4,1,1,100
3,5,4,1,2,100
4,11,12,8,4,100
5,11,12,8,4,100
6,11,12,8,4,100
7,15,17,12,5,100
8,27,22,16,11,100
9,28,22,16,11,100
10,32,26,20,13,100
11,32,32,26,13,100
12,43,46,39,18,100
13,43,57,49,18,100
14,47,62,52,19,100
15,50,62,52,19,100
16,50,62,52,19,100
17,50,62,52,19,100
18,50,62,52,19,100
19,50,62,52,19,100
20,50,62,52,19,100
21,50,63,52,19,100
22,54,68,56,21,100
23,54,68,56,21,100
24,54,68,56,21,100
25,54,68,56,21,100
26,54,68,56,21,100
27,54,68,56,21,100
28,55,69,57,21,100
29,55,69,57,21,100
30,55,69,57,21,100
31,55,69,57,21,100
32,56,69,57,22,100
33,59,71,59,24,100
34,61,76,63,26,100
35,63,76,63,28,100
36,68,83,68,30,100
